Year,SZ_s
1966,-2.00508082723878
1966.25,1.13225991844609
1966.5,-0.0483137923323697
1966.75,1.13559838213904
1967,0.218321134157426
1967.25,0.208823175650286
1967.5,-2.4371533764757
1967.75,-0.670533137002861
1968,-1.10772255956306
1968.25,0.217675723148221
1968.5,1.66983524852051
1968.75,-0.779673369461068
1969,-0.149695129106179
1969.25,3.3556426694927
1969.5,0.377312386901485
1969.75,2.25555447669222
1970,-1.83997119684994
1970.25,-0.152216737151624
1970.5,-0.833205848043056
1970.75,-0.00487608820667085
1971,-4.28521322089132
1971.25,0.310635583392383
1971.5,3.29914088292431
1971.75,0.669631280968141
1972,-3.75428224778945
1972.25,-1.50975472743545
1972.5,-0.350720636639654
1972.75,-1.41118942722441
1973,0.303603513041123
1973.25,1.02624858701849
1973.5,3.36406069490214
1973.75,0.592853763339666
1974,-1.23350448732583
1974.25,1.1403975165486
1974.5,-0.996456896288476
1974.75,-1.49505240031099
1975,-0.283430463591867
1975.25,1.38132703369539
1975.5,-0.0180239428578643
1975.75,0.113841245735433
1976,-1.6087202189813
1976.25,-0.256444486598633
1976.5,-1.69543277726025
1976.75,-3.17916849141378
1977,-2.37231711104501
1977.25,-0.802278759109824
1977.5,-0.0169516807033861
1977.75,0.326597537964403
1978,0.869910727097698
1978.25,-3.50563927855695
1978.5,-0.305240719735381
1978.75,0.516717637327225
1979,1.02367966726375
1979.25,-0.486778357203011
1979.5,1.1754744173469
1979.75,3.63616665718645
1980,8.84319957820766
1980.25,-5.31806709860016
1980.5,0.802382209479348
1980.75,8.83369186078123
1981,-0.604125567640805
1981.25,12.7775662077688
1981.5,-4.18921174250046
1981.75,0.263171279115314
1982,3.22243076230723
1982.25,5.66505401895867
1982.5,-1.20929558927168
1982.75,1.38298132310713
1983,-0.739200812610385
1983.25,-0.0499138643608778
1983.5,-2.60693535106867
1983.75,-0.605405465599307
1984,-2.38304449615123
1984.25,-0.067199820285707
1984.5,1.37960427192244
1984.75,-2.62630985551837
1985,-1.33594955321207
1985.25,-0.935973806770246
1985.5,1.17116887174371
1985.75,1.28380610817918
1986,0.0220571472547969
1986.25,0.946106297243641
1986.5,-1.9894158532541
1986.75,0.974460908161853
1987,-3.1023342488093
1987.25,-2.00859429578107
1987.5,-1.43812244344079
1987.75,-3.87367904542828
1988,-0.878618639884453
1988.25,-1.10259418205013
1988.5,0.192499139391398
1988.75,1.09394630009573
1989,0.723949807055771
1989.25,0.681267716477566
1989.5,1.19615414786111
1989.75,-0.0830304391909387
1990,-1.23727972913169
1990.25,-0.809521422158502
1990.5,1.07540517239738
1990.75,0.752554636902558
1991,0.273159613397052
1991.25,-0.13664917168778
1991.5,0.901101872029248
1991.75,0.54005788490782
1992,-0.470969388979743
1992.25,-0.970700783903689
1992.5,0.262719151478463
1992.75,-1.30217045916378
1993,1.85284623210546
1993.25,0.322442000076557
1993.5,0.815884063946584
1993.75,-0.776612608875851
1994,-0.14755009198982
1994.25,-0.842981326581585
1994.5,0.0813272998959618
1994.75,-1.36873062772752
1995,0.534535599468741
1995.25,0.842994472146146
1995.5,0.0445355377900235
1995.75,0.491505927112447
1996,0.288075560481516
1996.25,-1.49240698967139
1996.5,0.192677131616185
1996.75,-0.46288550105776
1997,-0.400747270685594
1997.25,-0.334453470105873
1997.5,-0.0720805348030144
1997.75,0.0742531838645259
1998,1.32262162210597
1998.25,-0.218289620612709
1998.5,-0.0687685709435784
1998.75,-1.01488084836586
1999,0.233828565629801
1999.25,0.676134779006828
1999.5,-0.0160271833627612
1999.75,-1.99087791900347
2000,0.342795225434384
2000.25,0.664770481252544
2000.5,1.95440627795727
2000.75,1.54676310834785
2001,0.0220954232650683
2001.25,-2.3803204331212
2001.5,-1.07462599033863
2001.75,0.0774229020800134
2002,-1.48777427531557
2002.25,-0.0472477113014683
2002.5,-0.100343854957475
2002.75,-1.05803873864659
2003,-0.393685942501548
