time,epsilon
1966,-0.8334938607337632
1966.25,-0.5353576666000384
1966.5,0.37716025427196764
1966.75,-0.014634784658043371
1967,-0.28975996473699533
1967.25,0.21725390118372456
1967.5,0.9536922955440207
1967.75,0.6318102865708557
1968,-1.1634766165347163
1968.25,-0.7869417434131605
1968.5,-1.1796335635230657
1968.75,0.052477041524389686
1969,0.36583847175001805
1969.25,0.06343094132598211
1969.5,1.1333826847918242
1969.75,1.3219511234946428
1970,0.2681355053487557
1970.25,0.3207400202460879
1970.5,0.19891869731081105
1970.75,-1.0346243635716663
1971,-3.652992581908368
1971.25,0.8169491559903005
1971.5,0.16200377303956703
1971.75,0.2893254320573972
1972,-1.8305727930741844
1972.25,0.16101272487940277
1972.5,-0.6476652033893018
1972.75,-0.8614650174065676
1973,0.1197903264386439
1973.25,-1.2401060397230803
1973.5,1.3581370025079396
1973.75,-2.480329834169654
1974,0.4503224110550742
1974.25,-0.22434208866873884
1974.5,0.16942659033034554
1974.75,-2.0094252499667933
1975,-0.9566246706750337
1975.25,0.9114749032644202
1975.5,1.0444038329850123
1975.75,-0.5106145269392031
1976,-0.6508492220792322
1976.25,-0.36517413274221644
1976.5,-0.34275254029877883
1976.75,-1.3537682791907617
1977,-0.8115089076977169
1977.25,-1.3748239413886028
1977.5,-0.019203682843380306
1977.75,-0.5036831260721581
1978,1.5324610392754239
1978.25,-2.2690505670682284
1978.5,-0.46291974135779185
1978.75,0.14177185385245158
1979,0.830394163174154
1979.25,-1.4152032686527685
1979.5,-0.2737510491434721
1979.75,2.5208953192053705
1980,1.9158883643741436
1980.25,-2.7456579965495003
1980.5,0.2389668359669051
1980.75,1.0901583328318447
1981,-0.9708383668139167
1981.25,3.3285296240331848
1981.5,0.6712274084313553
1981.75,-1.5122176331572703
1982,4.66317292881644
1982.25,-0.16389618038282114
1982.5,-0.07941995619553072
1982.75,-2.2110273742254876
1983,0.04843791432446799
1983.25,-0.21615116507039708
1983.5,1.3103848253313608
1983.75,-0.6031270201284834
1984,-0.8032006972937686
1984.25,0.8444105865365746
1984.5,0.5781817358405433
1984.75,-1.4915647033693642
1985,-1.4026399628905026
1985.25,-1.104993679491368
1985.5,-0.5392050865012965
1985.75,0.0023207722899632787
1986,0.393334912009072
1986.25,-0.11991009295474378
1986.5,-0.4163554413485275
1986.75,0.053456188088596285
1987,0.25740069982163194
1987.25,1.2711017934642836
1987.5,0.37302634770835147
1987.75,-0.28724848447951934
1988,-0.6059507872369622
1988.25,-0.09539948242193841
1988.5,0.32757656510539207
1988.75,1.041760842110668
1989,0.41304547161540556
1989.25,-0.5312055481132641
1989.5,-0.29868702860282575
1989.75,-0.08758543043870007
1990,-0.13633706053517602
1990.25,0.7318689390199237
1990.5,0.065404832535983
1990.75,0.8010135472945591
1991,-0.04844353449450526
1991.25,0.9411376289274248
1991.5,-0.17400551650847523
1991.75,-0.42887328122911195
1992,-0.147128956953447
1992.25,-0.6926843799570678
1992.5,-0.7505608970281628
1992.75,-0.14287989540049026
1993,0.008874933307611438
1993.25,0.569550914727831
1993.5,0.3978091268008739
1993.75,0.2466488919991801
1994,0.6117509434851726
1994.25,1.4864793487513865
1994.5,1.0357192073437265
1994.75,1.7606547314041232
1995,0.5478575033951422
1995.25,0.09177235182459847
1995.5,-0.11175316416319249
1995.75,-0.11172812015223973
1996,0.046829651859449976
1996.25,0.7235189347273514
1996.5,0.43278098000119014
1996.75,-0.2814271938617804
1997,0.35857546117243827
1997.25,0.3772395433484183
1997.5,-0.5498739525268829
1997.75,0.37439579019696784
1998,0.40514311934323954
1998.25,0.5824810118542045
1998.5,-0.5555047995130893
1998.75,-1.078987001780134
1999,-0.07556343428236319
1999.25,0.27195691488528895
1999.5,0.6981164616394042
1999.75,0.049163017722655404
2000,0.6156886338661754
2000.25,-0.36183241840808017
2000.5,0.1772296881481144
2000.75,-0.011776682571843887
2001,-0.6322038193587016
2001.25,-0.6527499045193612
2001.5,0.7033572958957748
2001.75,-0.3182484596265569
2002,1.0098765992956615
2002.25,0.4523420506351961
2002.5,-0.03921802841294314
2002.75,0.1929800242169762
2003,-0.25630964725000166
2003.25,0.38849293892057046
2003.5,-0.8290052232135082
2003.75,-0.18887169519224814
2004,-0.8256280840182804
2004.25,0.26044906582151983
2004.5,0.15182865241933624
2004.75,0.19778300723817535
