time,epsilon
1966,-0.023850397270228356
1966.25,-0.23433406035240378
1966.5,0.4147374354984648
1966.75,0.5301794050240588
1967,-0.5307539573152776
1967.25,0.36850977537719554
1967.5,1.7689851571252833
1967.75,0.6500683031806419
1968,-1.5676973446816882
1968.25,0.2650632557879515
1968.5,-0.4175143670371171
1968.75,-0.6441983454697142
1969,0.16915030970706968
1969.25,0.16166280299129668
1969.5,1.5528532479144062
1969.75,0.6965933524273024
1970,1.1620104143737908
1970.25,1.5211880807728264
1970.5,0.025000932765419693
1970.75,-1.1135937691846705
1971,-2.5984359872867313
1971.25,1.203517844713797
1971.5,-0.13723699058550134
1971.75,0.33533238606439225
1972,-1.6229924854996391
1972.25,0.3769326842751256
1972.5,-0.31068851806295533
1972.75,-1.099675837024964
1973,0.6480590614603324
1973.25,-0.6006295401726576
1973.5,1.4152068716664323
1973.75,-2.7748852604127072
1974,0.15274727836722587
1974.25,-0.5602619164310353
1974.5,-0.004879276158880731
1974.75,-0.766877040389963
1975,0.4073794151918221
1975.25,-0.20784901608465067
1975.5,-0.3985317210921549
1975.75,-0.11681982407685096
1976,-0.5780674167943202
1976.25,0.2090219384935655
1976.5,0.4518278938058261
1976.75,-1.0916163475437393
1977,-1.3269525699932743
1977.25,-1.5125186381916844
1977.5,-0.10640927923182289
1977.75,-1.357188558596391
1978,0.48646530960321943
1978.25,-2.3265601546861325
1978.5,-0.6653042236745721
1978.75,-0.14870087141907376
1979,0.4600443087745321
1979.25,-2.1940169464234405
1979.5,-0.8812458259277414
1979.75,2.100081963335973
1980,2.2273044819718453
1980.25,-1.9755000588590639
1980.5,-0.18917838372950474
1980.75,1.3449110474364676
1981,-0.9190027487753394
1981.25,2.948411377896843
1981.5,1.2212696830982959
1981.75,-1.5718617602040903
1982,4.410954998283221
1982.25,0.08793457070599776
1982.5,-0.03307168876427707
1982.75,-2.69458089277254
1983,0.2835444542321142
1983.25,0.051830865829032194
1983.5,1.979520783791921
1983.75,-0.7317013426282328
1984,-0.19398605820311116
1984.25,0.941862160750148
1984.5,0.7973231194685042
1984.75,-1.8891501651495717
1985,-1.2214548635117644
1985.25,-1.7522600612663974
1985.5,-0.6997020446706039
1985.75,-0.10707328076336944
1986,0.6575805667730796
1986.25,-0.19650844987684807
1986.5,-0.1939073581892506
1986.75,0.0723094415319083
1987,0.28880251371780963
1987.25,0.7703605668585782
1987.5,-0.12245705777206972
1987.75,-0.7922575440844803
1988,-0.8261663625178016
1988.25,-0.69674689053186
1988.5,0.029493382188521974
1988.75,0.5928710148509045
1989,0.9702486285843506
1989.25,-0.3753774826856515
1989.5,0.08991110057969215
1989.75,-0.5269179510198407
1990,0.23273746278620377
1990.25,0.7279017165861068
1990.5,-0.1193787382295847
1990.75,1.3206116702553337
1991,0.44336333799568745
1991.25,0.9015944436790874
1991.5,-0.3099690679923229
1991.75,-0.5506548306802201
1992,0.3441505741519347
1992.25,-0.3925383882439234
1992.5,-0.3814360868034692
1992.75,0.571586965587975
1993,0.1218025165096413
1993.25,0.7860325272647349
1993.5,0.1249939192330942
1993.75,0.20609462373935286
1994,0.23247176124262645
1994.25,1.7922817467906251
1994.5,1.031522165202978
1994.75,1.3830409089296811
1995,0.7700447610981538
1995.25,0.24387944795808264
1995.5,-0.6073808028631973
1995.75,-0.33382165255929136
1996,-0.09927471924434797
1996.25,0.7368808601323761
1996.5,0.47435586947184616
1996.75,-0.36881738751068927
1997,0.21597250455954556
1997.25,0.6073986049024931
1997.5,-0.8755398584207971
1997.75,-0.22714394889912273
1998,0.030243167606240573
1998.25,0.7477277467993971
1998.5,-0.3100558408306968
1998.75,-0.9841648219612504
1999,-0.8446060878008289
1999.25,0.36151556639661536
1999.5,0.4013689391029271
1999.75,-0.39650235691981844
2000,-0.19974538336973643
2000.25,0.3497403851704628
2000.5,-0.18371489957043716
2000.75,-0.3591294399222998
2001,-1.1004647516824426
2001.25,0.020901889689466557
2001.5,-0.32696256584302413
2001.75,-0.3428564223671892
2002,0.8057810153621695
2002.25,0.4500350422923846
2002.5,-0.16737968740319054
2002.75,0.011583739434335627
2003,-0.18658647277797438
2003.25,0.5133066749244588
2003.5,0.3046614109203229
2003.75,-0.10269426861699088
2004,-0.8817791554292379
2004.25,0.14323248118928988
2004.5,-0.1838672684079776
2004.75,0.7649530392275539
